category,outcome,predictor,Estimate,CI_low,CI_high,p_value,n,N,Freq
category1,outcome1,predictor1,0.993,-0.259,2.246,0.1201,187,1000,0.187
category2,outcome1,predictor2,-0.277,-0.852,0.299,0.032,381,1000,0.381
category3,outcome1,predictor3,3.158,2.742,3.575,0.194,791,1000,0.791
category4,outcome1,predictor4,1.535,0.164,2.906,0.0433,849,1000,0.849
category1,outcome1,predictor5,-0.927,-1.677,-0.177,0.1054,492,1000,0.492
category2,outcome1,predictor6,-0.931,-1.831,-0.031,0.059,825,1000,0.825
category3,outcome1,predictor7,-2.026,-2.761,-1.29,0.0739,858,1000,0.858
category4,outcome1,predictor8,0.628,-0.3,1.557,0.1573,449,1000,0.449
category1,outcome1,predictor9,0.135,-0.954,1.224,0.0102,909,1000,0.909
category2,outcome1,predictor10,-2.849,-3.956,-1.743,0.0349,359,1000,0.359
category1,outcome2,predictor1,-1.201,-2.398,-0.005,0.0886,315,1000,0.315
category2,outcome2,predictor2,-0.583,-1.119,-0.048,0.0995,714,1000,0.714
category3,outcome2,predictor3,1.645,0.887,2.404,0.1045,673,1000,0.673
category4,outcome2,predictor4,-2.442,-3.477,-1.407,0.0378,225,1000,0.225
category1,outcome2,predictor5,1.477,0.981,1.973,0.04,850,1000,0.85
category2,outcome2,predictor6,0.343,-0.102,0.788,0.0657,280,1000,0.28
category3,outcome2,predictor7,-2.957,-4.324,-1.59,0.072,825,1000,0.825
category4,outcome2,predictor8,-1.44,-2.162,-0.717,0.109,106,1000,0.106
category1,outcome2,predictor9,0.648,0.168,1.128,0.1974,817,1000,0.817
category2,outcome2,predictor10,-0.77,-2.07,0.53,0.0405,809,1000,0.809
